Country,Age,Diet,Transportation,Housing,Carbon_Footprint
UK,46,Vegan,Bicycle,House,2.48
Italy,27,Vegetarian,Car,House,4.25
Italy,68,Vegetarian,Bicycle,Apartment,2.63
France,37,Vegetarian,Public Transit,Apartment,2.5
Italy,22,Vegan,Car,House,3.2
UK,79,Vegan,Car,House,3.57
UK,59,Meat-based,Public Transit,House,4.95
France,46,Meat-based,Public Transit,Apartment,3.44
Germany,20,Meat-based,Bicycle,House,5.91
UK,51,Vegan,Car,House,3.22
Italy,42,Vegetarian,Public Transit,Apartment,3.69
Italy,22,Vegetarian,Car,House,4.12
UK,73,Meat-based,Public Transit,Apartment,4.53
Germany,76,Vegetarian,Public Transit,House,5.13
France,37,Vegan,Public Transit,House,2.43
UK,23,Vegan,Bicycle,House,2.31
France,41,Vegetarian,Car,Apartment,2.96
Spain,30,Meat-based,Car,Apartment,4.19
France,50,Vegan,Bicycle,Apartment,1.65
UK,26,Vegan,Public Transit,Apartment,2.49
UK,69,Meat-based,Bicycle,House,3.5
Italy,61,Vegan,Car,House,3.3
Spain,32,Vegan,Car,House,3.33
Spain,75,Meat-based,Public Transit,House,4.54
Italy,67,Vegetarian,Bicycle,House,3.29
Germany,69,Vegan,Car,House,4.2
Spain,73,Vegetarian,Bicycle,Apartment,2.67
UK,72,Meat-based,Public Transit,Apartment,4.69
Italy,46,Vegan,Car,House,2.96
Germany,70,Vegetarian,Public Transit,Apartment,4.9
Spain,50,Vegetarian,Car,House,4.47
Italy,32,Meat-based,Public Transit,Apartment,4.65
Italy,68,Meat-based,Car,Apartment,4.64
Spain,62,Meat-based,Bicycle,House,3.52
France,75,Meat-based,Car,House,4.0
Germany,53,Vegan,Bicycle,House,2.98
Italy,33,Vegetarian,Car,Apartment,3.67
UK,47,Meat-based,Car,House,5.61
France,58,Vegan,Bicycle,Apartment,1.67
Italy,45,Meat-based,Bicycle,House,3.57
Spain,29,Vegan,Bicycle,Apartment,1.93
Italy,22,Vegan,Bicycle,Apartment,1.99
Spain,20,Vegan,Public Transit,House,2.61
France,40,Meat-based,Public Transit,Apartment,3.59
France,67,Vegan,Bicycle,House,1.65
Italy,52,Vegetarian,Bicycle,Apartment,2.89
Spain,80,Vegan,Public Transit,Apartment,2.62
France,63,Vegetarian,Car,House,3.19
Germany,74,Meat-based,Public Transit,House,6.94
UK,48,Vegetarian,Car,Apartment,3.79
France,73,Vegan,Public Transit,House,2.12
Italy,45,Vegetarian,Bicycle,House,3.25
Spain,39,Meat-based,Public Transit,House,4.45
UK,35,Meat-based,Bicycle,House,3.53
UK,70,Meat-based,Bicycle,House,3.71
France,38,Vegan,Public Transit,House,2.26
Spain,28,Vegan,Public Transit,House,2.71
Italy,57,Vegetarian,Public Transit,Apartment,3.19
Spain,41,Vegan,Bicycle,Apartment,2.09
Germany,72,Vegan,Bicycle,House,2.93
France,33,Vegan,Public Transit,House,2.24
UK,20,Vegan,Car,House,3.6
Italy,46,Meat-based,Bicycle,Apartment,3.41
Spain,38,Vegan,Public Transit,Apartment,2.7
France,65,Meat-based,Public Transit,House,4.13
France,34,Vegetarian,Bicycle,House,2.24
UK,36,Vegan,Public Transit,Apartment,2.47
France,46,Meat-based,Bicycle,House,3.26
Italy,60,Vegetarian,Bicycle,Apartment,2.74
Italy,75,Vegetarian,Car,Apartment,4.1
UK,32,Meat-based,Car,Apartment,4.69
Spain,19,Vegetarian,Bicycle,House,2.83
UK,26,Vegan,Car,Apartment,2.86
Spain,51,Vegetarian,Public Transit,Apartment,3.05
Italy,59,Meat-based,Public Transit,House,5.02
Italy,26,Vegan,Bicycle,Apartment,2.14
Germany,45,Vegan,Car,Apartment,4.17
Italy,28,Meat-based,Public Transit,Apartment,4.22
UK,75,Vegetarian,Car,House,4.13
UK,35,Meat-based,Bicycle,House,3.94
France,50,Vegan,Car,Apartment,2.14
UK,64,Vegan,Public Transit,Apartment,2.85
France,23,Meat-based,Bicycle,House,3.06
UK,44,Vegan,Bicycle,Apartment,2.08
UK,36,Vegan,Public Transit,House,2.82
Spain,37,Vegetarian,Car,Apartment,3.41
Spain,48,Vegetarian,Car,House,4.15
Italy,73,Vegan,Public Transit,House,3.18
Germany,66,Vegetarian,Bicycle,Apartment,3.74
Spain,25,Vegetarian,Public Transit,Apartment,3.06
France,36,Vegetarian,Bicycle,House,2.25
Germany,70,Vegetarian,Bicycle,House,4.04
Germany,49,Vegan,Public Transit,House,4.47
Spain,19,Meat-based,Public Transit,House,5.0
Germany,55,Vegetarian,Car,Apartment,5.29
UK,74,Vegan,Bicycle,House,2.21
France,72,Meat-based,Public Transit,Apartment,3.7
Italy,66,Vegetarian,Public Transit,Apartment,3.42
UK,53,Meat-based,Public Transit,House,4.53
UK,46,Vegan,Public Transit,Apartment,2.47
France,43,Vegetarian,Public Transit,House,3.21
Germany,56,Vegan,Public Transit,Apartment,3.4
Germany,63,Vegetarian,Public Transit,House,5.15
UK,26,Vegetarian,Bicycle,House,2.87
UK,65,Vegetarian,Bicycle,House,3.08
UK,52,Vegetarian,Bicycle,House,3.06
France,41,Vegetarian,Bicycle,Apartment,2.34
UK,37,Vegan,Bicycle,Apartment,2.12
Italy,79,Vegan,Bicycle,Apartment,2.12
UK,48,Meat-based,Bicycle,House,3.58
Germany,20,Vegan,Bicycle,Apartment,2.73
Spain,38,Vegetarian,Car,House,4.22
Spain,50,Vegan,Public Transit,Apartment,2.57
UK,31,Vegan,Public Transit,House,2.99
Italy,79,Meat-based,Public Transit,House,4.89
Italy,57,Vegetarian,Car,Apartment,3.7
Italy,32,Vegetarian,Public Transit,Apartment,3.62
Spain,38,Vegetarian,Public Transit,House,3.5
UK,61,Vegan,Public Transit,House,3.16
Germany,36,Meat-based,Public Transit,Apartment,6.04
Spain,59,Vegetarian,Bicycle,House,2.68
UK,35,Vegan,Bicycle,House,2.14
UK,65,Vegan,Car,Apartment,2.7
UK,32,Vegan,Car,Apartment,2.73
Italy,63,Vegetarian,Car,Apartment,3.49
UK,80,Meat-based,Public Transit,House,4.93
Germany,66,Vegetarian,Public Transit,House,5.7
France,59,Vegan,Car,Apartment,2.48
Germany,44,Meat-based,Car,House,8.13
Germany,77,Vegan,Public Transit,Apartment,3.37
UK,56,Meat-based,Public Transit,House,4.9
UK,51,Vegetarian,Car,House,4.2
France,39,Meat-based,Bicycle,House,3.06
Germany,18,Vegan,Public Transit,House,4.21
Germany,29,Vegan,Bicycle,House,3.44
UK,38,Meat-based,Public Transit,Apartment,4.17
Germany,48,Vegetarian,Car,Apartment,5.27
Germany,46,Vegetarian,Public Transit,House,5.63
UK,18,Vegetarian,Bicycle,House,3.2
France,60,Meat-based,Public Transit,House,3.56
UK,77,Vegan,Public Transit,Apartment,2.75
Italy,41,Vegan,Car,Apartment,3.17
Spain,27,Vegetarian,Bicycle,House,2.8
UK,76,Vegetarian,Bicycle,Apartment,2.92
UK,73,Meat-based,Bicycle,House,3.87
Italy,22,Vegan,Car,Apartment,3.1
UK,30,Vegan,Bicycle,Apartment,1.94
UK,46,Meat-based,Bicycle,Apartment,3.62
Spain,23,Vegan,Public Transit,Apartment,2.45
UK,44,Vegetarian,Bicycle,Apartment,2.8
Italy,64,Meat-based,Public Transit,House,5.15
Germany,55,Meat-based,Car,House,7.45
France,52,Meat-based,Car,House,3.84
Spain,29,Meat-based,Bicycle,House,3.47
Spain,46,Vegetarian,Public Transit,Apartment,3.41
UK,26,Vegan,Public Transit,Apartment,2.5
UK,43,Vegan,Car,Apartment,3.17
France,80,Vegetarian,Public Transit,House,3.07
Germany,33,Vegetarian,Public Transit,Apartment,4.76
France,20,Vegan,Public Transit,Apartment,1.95
France,24,Vegan,Car,House,2.59
France,33,Vegan,Car,House,2.51
UK,31,Meat-based,Car,House,5.21
UK,38,Vegan,Bicycle,House,2.19
Germany,60,Vegan,Car,House,4.43
France,53,Vegan,Bicycle,Apartment,1.64
Spain,53,Vegetarian,Car,House,4.42
Spain,68,Vegan,Public Transit,House,2.69
Italy,42,Meat-based,Bicycle,House,3.57
Germany,37,Vegan,Car,House,5.0
UK,44,Vegetarian,Bicycle,Apartment,2.71
Italy,31,Vegetarian,Bicycle,Apartment,2.94
Italy,23,Vegan,Bicycle,Apartment,1.85
Spain,61,Vegan,Bicycle,Apartment,2.06
Germany,69,Vegan,Bicycle,Apartment,2.89
Italy,37,Meat-based,Car,Apartment,5.29
France,65,Vegetarian,Car,Apartment,2.99
Germany,53,Vegetarian,Public Transit,House,5.5
Italy,37,Vegetarian,Public Transit,House,3.85
Spain,66,Vegetarian,Car,House,3.91
France,54,Meat-based,Bicycle,Apartment,2.41
UK,77,Vegan,Bicycle,House,2.22
Germany,39,Meat-based,Public Transit,Apartment,6.23
Italy,34,Vegetarian,Bicycle,House,2.99
Italy,28,Meat-based,Bicycle,House,3.53
UK,59,Meat-based,Bicycle,Apartment,3.7
France,78,Vegan,Car,Apartment,2.25
Germany,22,Vegan,Car,Apartment,3.92
Spain,41,Meat-based,Bicycle,House,3.67
France,18,Vegan,Bicycle,House,1.61
UK,64,Vegetarian,Bicycle,House,2.78
Spain,69,Meat-based,Car,Apartment,4.59
Germany,30,Vegan,Bicycle,House,3.43
Italy,68,Vegetarian,Car,House,4.7
Spain,54,Meat-based,Bicycle,Apartment,3.07
France,59,Vegan,Car,Apartment,2.25
Spain,53,Vegetarian,Car,Apartment,3.81
France,49,Vegetarian,Bicycle,House,2.41
France,75,Vegan,Car,Apartment,2.16
UK,48,Vegetarian,Car,Apartment,4.11
Italy,75,Vegan,Bicycle,Apartment,1.9
Italy,19,Meat-based,Bicycle,Apartment,3.56
Spain,77,Meat-based,Public Transit,Apartment,4.17
UK,71,Vegetarian,Bicycle,House,3.01
Germany,68,Vegan,Bicycle,Apartment,2.91
Italy,21,Meat-based,Public Transit,Apartment,4.65
Italy,56,Vegan,Bicycle,House,2.47
Italy,19,Vegan,Public Transit,House,2.9
Italy,53,Vegetarian,Public Transit,Apartment,3.61
Spain,23,Vegan,Public Transit,Apartment,2.57
France,35,Meat-based,Public Transit,Apartment,3.6
Italy,41,Meat-based,Car,Apartment,5.27
Spain,41,Vegetarian,Car,Apartment,3.36
Spain,46,Vegan,Bicycle,House,1.96
France,40,Vegan,Car,House,2.73
France,36,Vegetarian,Public Transit,Apartment,2.87
UK,75,Meat-based,Bicycle,Apartment,3.59
Germany,26,Vegetarian,Public Transit,House,5.53
France,28,Vegetarian,Public Transit,House,2.93
France,41,Vegetarian,Car,House,3.46
Germany,47,Meat-based,Car,House,6.93
Spain,39,Vegan,Public Transit,House,2.71
Spain,70,Vegan,Bicycle,Apartment,1.84
UK,78,Vegan,Car,House,3.18
Spain,79,Vegetarian,Public Transit,House,4.0
Germany,38,Vegetarian,Public Transit,House,5.39
UK,30,Vegan,Bicycle,Apartment,2.15
UK,19,Vegan,Public Transit,Apartment,2.64
Italy,71,Vegan,Car,House,3.34
Germany,58,Vegetarian,Car,House,6.35
Spain,68,Vegetarian,Car,House,4.46
Spain,55,Vegetarian,Bicycle,House,2.87
Italy,62,Vegan,Bicycle,Apartment,1.87
Germany,60,Vegan,Public Transit,Apartment,3.85
France,54,Vegan,Bicycle,House,1.95
Italy,79,Vegetarian,Car,Apartment,3.56
Germany,50,Vegan,Bicycle,Apartment,2.88
Spain,47,Vegan,Bicycle,Apartment,1.86
France,48,Meat-based,Public Transit,House,4.14
France,25,Vegan,Car,House,2.45
Spain,68,Meat-based,Bicycle,House,3.45
France,46,Vegan,Bicycle,House,1.72
Italy,20,Vegan,Car,Apartment,3.11
France,61,Meat-based,Bicycle,Apartment,2.68
UK,28,Vegetarian,Bicycle,House,3.36
Germany,69,Vegetarian,Bicycle,Apartment,3.63
Spain,43,Meat-based,Bicycle,Apartment,3.17
Spain,42,Meat-based,Bicycle,Apartment,3.01
France,54,Meat-based,Bicycle,Apartment,2.6
Germany,47,Meat-based,Public Transit,House,6.96
Italy,56,Vegetarian,Bicycle,House,3.07
Italy,40,Vegetarian,Bicycle,Apartment,2.88
Italy,76,Vegan,Bicycle,Apartment,2.1
Italy,25,Meat-based,Public Transit,Apartment,4.08
Germany,50,Vegetarian,Public Transit,Apartment,5.06
Spain,29,Vegetarian,Bicycle,Apartment,2.59
Spain,36,Meat-based,Car,House,5.43
UK,21,Vegetarian,Car,House,4.08
Spain,79,Vegan,Bicycle,House,2.09
Spain,44,Vegan,Public Transit,House,2.56
UK,19,Meat-based,Public Transit,Apartment,4.25
UK,36,Meat-based,Public Transit,House,5.0
France,54,Meat-based,Public Transit,House,3.85
France,66,Vegan,Public Transit,Apartment,2.26
France,65,Vegan,Car,House,2.73
France,46,Vegetarian,Public Transit,Apartment,2.71
France,67,Meat-based,Car,House,4.55
UK,58,Vegetarian,Car,Apartment,4.19
Germany,69,Meat-based,Bicycle,House,5.42
UK,52,Meat-based,Public Transit,House,4.74
Italy,78,Vegan,Bicycle,Apartment,1.89
Spain,76,Meat-based,Public Transit,Apartment,4.28
Germany,33,Meat-based,Bicycle,House,5.74
Spain,49,Meat-based,Bicycle,House,3.65
Spain,46,Meat-based,Bicycle,Apartment,3.14
Italy,62,Vegetarian,Public Transit,House,3.74
France,73,Vegan,Car,House,2.61
Italy,72,Meat-based,Bicycle,House,3.55
Spain,70,Meat-based,Public Transit,House,4.41
Italy,39,Vegan,Bicycle,Apartment,2.06
Spain,68,Vegetarian,Bicycle,Apartment,2.33
Spain,19,Meat-based,Car,House,5.04
Spain,30,Vegan,Car,House,2.84
Italy,23,Vegan,Public Transit,House,2.66
Germany,21,Vegetarian,Bicycle,House,4.5
Germany,45,Vegan,Car,Apartment,3.74
Spain,22,Meat-based,Bicycle,Apartment,3.21
Spain,18,Meat-based,Bicycle,House,3.78
Spain,62,Meat-based,Public Transit,Apartment,3.89
France,64,Meat-based,Car,House,4.13
Italy,26,Vegetarian,Car,Apartment,3.54
UK,18,Vegan,Bicycle,Apartment,2.05
Germany,58,Vegan,Car,House,4.72
Spain,73,Meat-based,Car,Apartment,4.24
France,55,Vegan,Public Transit,House,2.5
Italy,68,Meat-based,Car,House,5.54
Germany,53,Vegan,Bicycle,House,3.41
France,72,Vegan,Public Transit,Apartment,2.07
UK,30,Vegan,Public Transit,House,3.06
Germany,49,Vegetarian,Car,Apartment,5.54
UK,22,Vegan,Car,House,3.59
Germany,42,Vegan,Public Transit,House,4.19
Germany,66,Vegetarian,Car,Apartment,5.63
France,34,Meat-based,Car,Apartment,4.16
Spain,50,Vegetarian,Bicycle,House,2.8
Spain,23,Vegan,Bicycle,Apartment,1.83
Italy,23,Vegan,Car,Apartment,2.93
Spain,55,Vegan,Bicycle,Apartment,1.85
Spain,64,Meat-based,Car,Apartment,4.19
Spain,25,Vegetarian,Bicycle,Apartment,2.46
Germany,25,Meat-based,Bicycle,Apartment,5.04
Germany,49,Vegetarian,Bicycle,House,4.02
Germany,65,Vegetarian,Bicycle,Apartment,4.09
France,39,Vegetarian,Public Transit,Apartment,2.62
UK,58,Meat-based,Public Transit,House,4.96
France,49,Vegan,Car,House,2.37
France,75,Vegan,Bicycle,Apartment,1.52
UK,18,Meat-based,Car,Apartment,4.5
Italy,42,Meat-based,Car,Apartment,4.89
Spain,32,Vegetarian,Car,House,4.4
Italy,35,Meat-based,Bicycle,House,3.48
France,29,Meat-based,Bicycle,Apartment,2.91
France,74,Vegetarian,Public Transit,House,2.95
